Country or Area,Year,Item,Value,Region
Republic of Korea,2019,Manufacturing (ISIC D),485401200000000,East Asia and Pacific
Republic of Korea,2019,Construction (ISIC F),104855200000000,East Asia and Pacific
Republic of Korea,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",184603800000000,East Asia and Pacific
Republic of Korea,2019,"Transport, storage and communication (ISIC I)",143729300000000,East Asia and Pacific
Republic of Korea,2019,Other Activities (ISIC J-P),773291000000000,East Asia and Pacific
Russian Federation,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",3818610602020,Europe and Central Asia
Russian Federation,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",27659811010799,Europe and Central Asia
Russian Federation,2019,Manufacturing (ISIC D),14392065603027,Europe and Central Asia
Russian Federation,2019,Construction (ISIC F),7771301950447,Europe and Central Asia
Russian Federation,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",16260207432478,Europe and Central Asia
Russian Federation,2019,"Transport, storage and communication (ISIC I)",7280521501159,Europe and Central Asia
Russian Federation,2019,Other Activities (ISIC J-P),35475233832408,Europe and Central Asia
Saudi Arabia,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",66411063140,Middle East and North Africa
Saudi Arabia,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",1246773334057,Middle East and North Africa
Saudi Arabia,2019,Manufacturing (ISIC D),372893448496,Middle East and North Africa
Saudi Arabia,2019,Construction (ISIC F),163655153571,Middle East and North Africa
Saudi Arabia,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",298008689200,Middle East and North Africa
Saudi Arabia,2019,"Transport, storage and communication (ISIC I)",182071045329,Middle East and North Africa
Saudi Arabia,2019,Other Activities (ISIC J-P),1019848747346,Middle East and North Africa
Singapore,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",165400000,East Asia and Pacific
Singapore,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",105155800000,East Asia and Pacific
Singapore,2019,Manufacturing (ISIC D),99360700000,East Asia and Pacific
Singapore,2019,Construction (ISIC F),18486400000,East Asia and Pacific
Singapore,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",96219700000,East Asia and Pacific
Singapore,2019,"Transport, storage and communication (ISIC I)",54007900000,East Asia and Pacific
Singapore,2019,Other Activities (ISIC J-P),210727400000,East Asia and Pacific
South Africa,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",95690000000,Sub-Saharan Africa
South Africa,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",1147924710871,Sub-Saharan Africa
South Africa,2019,Manufacturing (ISIC D),598171339572,Sub-Saharan Africa
South Africa,2019,Construction (ISIC F),172217616455,Sub-Saharan Africa
South Africa,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",685262820574,Sub-Saharan Africa
South Africa,2019,"Transport, storage and communication (ISIC I)",442073947789,Sub-Saharan Africa
South Africa,2019,Other Activities (ISIC J-P),1980410796316,Sub-Saharan Africa
Spain,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",32287000000,Europe and Central Asia
Spain,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",179996000000,Europe and Central Asia
Spain,2019,Manufacturing (ISIC D),136261000000,Europe and Central Asia
Spain,2019,Construction (ISIC F),70715000000,Europe and Central Asia
Spain,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",215025979817,Europe and Central Asia
Spain,2019,"Transport, storage and communication (ISIC I)",93673020183,Europe and Central Asia
Spain,2019,Other Activities (ISIC J-P),536784000000,Europe and Central Asia
Turkey,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",276371822000,Europe and Central Asia
Turkey,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",942677395000,Europe and Central Asia
Turkey,2019,Manufacturing (ISIC D),789333607000,Europe and Central Asia
Turkey,2019,Construction (ISIC F),233312981000,Europe and Central Asia
Turkey,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",683163209000,Europe and Central Asia
Turkey,2019,"Transport, storage and communication (ISIC I)",482228321000,Europe and Central Asia
Turkey,2019,Other Activities (ISIC J-P),1270170308000,Europe and Central Asia
Turkmenistan,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",17084000000,Europe and Central Asia
Turkmenistan,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",55381574746,Europe and Central Asia
Turkmenistan,2019,Manufacturing (ISIC D),52196390035,Europe and Central Asia
Turkmenistan,2019,Construction (ISIC F),11140425254,Europe and Central Asia
Turkmenistan,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",7790111909,Europe and Central Asia
Turkmenistan,2019,"Transport, storage and communication (ISIC I)",11902388781,Europe and Central Asia
Turkmenistan,2019,Other Activities (ISIC J-P),46578752234,Europe and Central Asia
United Arab Emirates,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",11448434473,Middle East and North Africa
United Arab Emirates,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",543829922260,Middle East and North Africa
United Arab Emirates,2019,Manufacturing (ISIC D),134639002042,Middle East and North Africa
United Arab Emirates,2019,Construction (ISIC F),137391787376,Middle East and North Africa
United Arab Emirates,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",234957227486,Middle East and North Africa
United Arab Emirates,2019,"Transport, storage and communication (ISIC I)",135791916089,Middle East and North Africa
United Arab Emirates,2019,Other Activities (ISIC J-P),468804854629,Middle East and North Africa
United Kingdom of Great Britain and Northern Ireland,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",13802000000,Europe and Central Asia
United Kingdom of Great Britain and Northern Ireland,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",276394000000,Europe and Central Asia
United Kingdom of Great Britain and Northern Ireland,2019,Manufacturing (ISIC D),200263000000,Europe and Central Asia
United Kingdom of Great Britain and Northern Ireland,2019,Construction (ISIC F),129134000000,Europe and Central Asia
United Kingdom of Great Britain and Northern Ireland,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",270136000000,Europe and Central Asia
United Kingdom of Great Britain and Northern Ireland,2019,"Transport, storage and communication (ISIC I)",205657000000,Europe and Central Asia
United Kingdom of Great Britain and Northern Ireland,2019,Other Activities (ISIC J-P),1122221000000,Europe and Central Asia
United States,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",162600000000,Europe and Central Asia
United States,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",3059400000000,Europe and Central Asia
United States,2019,Manufacturing (ISIC D),2370900000000,Europe and Central Asia
United States,2019,Construction (ISIC F),903600000000,Europe and Central Asia
United States,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",3114900000000,Europe and Central Asia
United States,2019,"Transport, storage and communication (ISIC I)",2252700000000,Europe and Central Asia
United States,2019,Other Activities (ISIC J-P),11879300000000,Europe and Central Asia
Zimbabwe,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",1792800913,Sub-Saharan Africa
Zimbabwe,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",4200009663,Sub-Saharan Africa
Zimbabwe,2019,Manufacturing (ISIC D),2427825131,Sub-Saharan Africa
Zimbabwe,2019,Construction (ISIC F),491388567,Sub-Saharan Africa
Zimbabwe,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",4451542520,Sub-Saharan Africa
Zimbabwe,2019,"Transport, storage and communication (ISIC I)",2254697878,Sub-Saharan Africa
Zimbabwe,2019,Other Activities (ISIC J-P),6621578327,Sub-Saharan Africa
